
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0289        2451200 |               F
       2     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0363        2451200 |               F
       2     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0363        2451200 |               F
       2     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0363        8229600 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411        8229600 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411       11704800 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       16486400 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       19962400 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       19962400 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       19962400 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       19962400 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       24744000 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       29504800 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       29504800 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       34395200 |               F
