
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0289        2932000 |               F
       2     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0363        2932000 |               F
       2     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0363        5838000 |               F
       3     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0411       11590000 |               F
       4     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0442       11590000 |               F
       4     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0442       16192000 |               F
       5     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0462       16192000 |               F
       5     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0462       16192000 |               F
       5     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0462       20222000 |               F
       6     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0475       24850000 |               F
       7     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0484       24850000 |               F
       7     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0484       24850000 |               F
       7     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0484       32736000 |               F
