
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14       3 ]      0.171944   -0.000107072  0.9615        0.0289        7796000 |               F
       2     [      14       3 ]      0.171944   -0.000107072  0.9615        0.0363        7796000 |               F
       2     [      14       3 ]      0.171944   -0.000107072  0.9615        0.0363        7796000 |               F
       2     [      14       3 ]      0.171944   -0.000107072  0.9615        0.0363        7796000 |               F
       2     [      14       3 ]      0.171944   -0.000107072  0.9615        0.0363        7796000 |               F
       2     [      14       3 ]      0.171944   -0.000107072  0.9615        0.0363       15592000 |               F
       3     [      14       3 ]      0.171944   -0.000107072  0.9615        0.0411       15927200 |               F
       4     [      14       3 ]      0.171944   -0.000107072  0.9615        0.0442       15927200 |               F
       4     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0442       21172400 |               F
       5     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0462       24390400 |               F
       6     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0475       24725600 |               F
       7     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0484       32521600 |               F
